Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	UCSC-style-name
HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270888.1	=	NT_187642.1	ALT_REF_LOCI_16	chr19_KI270888v1_alt
HSCHR19KIR_LUCE_A_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270889.1	=	NT_187643.1	ALT_REF_LOCI_17	chr19_KI270889v1_alt
HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270890.1	=	NT_187644.1	ALT_REF_LOCI_18	chr19_KI270890v1_alt
HSCHR19KIR_RSH_A_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270891.1	=	NT_187645.1	ALT_REF_LOCI_19	chr19_KI270891v1_alt
HSCHR1_ALT2_1_CTG32_1	alt-scaffold	1	Chromosome	KI270892.1	=	NT_187646.1	ALT_REF_LOCI_2	chr1_KI270892v1_alt
HSCHR2_2_CTG15	alt-scaffold	2	Chromosome	KI270893.1	=	NT_187647.1	ALT_REF_LOCI_2	chr2_KI270893v1_alt
HSCHR2_2_CTG7	alt-scaffold	2	Chromosome	KI270894.1	=	NT_187648.1	ALT_REF_LOCI_2	chr2_KI270894v1_alt
HSCHR3_3_CTG3	alt-scaffold	3	Chromosome	KI270895.1	=	NT_187649.1	ALT_REF_LOCI_2	chr3_KI270895v1_alt
HSCHR4_6_CTG12	alt-scaffold	4	Chromosome	KI270896.1	=	NT_187650.1	ALT_REF_LOCI_2	chr4_KI270896v1_alt
HSCHR5_1_CTG1_1	alt-scaffold	5	Chromosome	KI270897.1	=	NT_187651.1	ALT_REF_LOCI_2	chr5_KI270897v1_alt
HSCHR5_3_CTG5	alt-scaffold	5	Chromosome	KI270898.1	=	NT_187652.1	ALT_REF_LOCI_2	chr5_KI270898v1_alt
HSCHR6_MHC_COX_CTG1	alt-scaffold	6	Chromosome	GL000251.2	=	NT_113891.3	ALT_REF_LOCI_2	chr6_GL000251v2_alt
HSCHR7_2_CTG1	alt-scaffold	7	Chromosome	KI270899.1	=	NT_187653.1	ALT_REF_LOCI_2	chr7_KI270899v1_alt
HSCHR8_5_CTG1	alt-scaffold	8	Chromosome	KI270900.1	=	NT_187654.1	ALT_REF_LOCI_2	chr8_KI270900v1_alt
HSCHR8_6_CTG1	alt-scaffold	8	Chromosome	KI270901.1	=	NT_187655.1	ALT_REF_LOCI_2	chr8_KI270901v1_alt
HSCHR11_2_CTG1	alt-scaffold	11	Chromosome	KI270902.1	=	NT_187656.1	ALT_REF_LOCI_2	chr11_KI270902v1_alt
HSCHR11_2_CTG1_1	alt-scaffold	11	Chromosome	KI270903.1	=	NT_187657.1	ALT_REF_LOCI_2	chr11_KI270903v1_alt
HSCHR12_3_CTG2	alt-scaffold	12	Chromosome	KI270904.1	=	NT_187658.1	ALT_REF_LOCI_2	chr12_KI270904v1_alt
HSCHR15_4_CTG8	alt-scaffold	15	Chromosome	KI270905.1	=	NT_187660.1	ALT_REF_LOCI_2	chr15_KI270905v1_alt
HSCHR15_2_CTG3	alt-scaffold	15	Chromosome	KI270906.1	=	NT_187659.1	ALT_REF_LOCI_2	chr15_KI270906v1_alt
HSCHR17_6_CTG4	alt-scaffold	17	Chromosome	JH159148.1	=	NW_003871093.1	ALT_REF_LOCI_2	chr17_JH159148v1_alt
HSCHR17_2_CTG1	alt-scaffold	17	Chromosome	KI270907.1	=	NT_187662.1	ALT_REF_LOCI_2	chr17_KI270907v1_alt
HSCHR17_2_CTG5	alt-scaffold	17	Chromosome	KI270908.1	=	NT_187663.1	ALT_REF_LOCI_2	chr17_KI270908v1_alt
HSCHR17_10_CTG4	alt-scaffold	17	Chromosome	KI270909.1	=	NT_187661.1	ALT_REF_LOCI_2	chr17_KI270909v1_alt
HSCHR17_3_CTG2	alt-scaffold	17	Chromosome	KI270910.1	=	NT_187664.1	ALT_REF_LOCI_2	chr17_KI270910v1_alt
HSCHR18_ALT2_CTG2_1	alt-scaffold	18	Chromosome	KI270911.1	=	NT_187666.1	ALT_REF_LOCI_2	chr18_KI270911v1_alt
HSCHR18_ALT21_CTG2_1	alt-scaffold	18	Chromosome	KI270912.1	=	NT_187665.1	ALT_REF_LOCI_2	chr18_KI270912v1_alt
HSCHR19LRC_COX2_CTG3_1	alt-scaffold	19	Chromosome	GL949747.2	=	NW_003571055.2	ALT_REF_LOCI_2	chr19_GL949747v2_alt
HSCHR22_2_CTG1	alt-scaffold	22	Chromosome	KB663609.1	=	NW_004504305.1	ALT_REF_LOCI_2	chr22_KB663609v1_alt
HSCHRX_2_CTG3	alt-scaffold	X	Chromosome	KI270913.1	=	NT_187667.1	ALT_REF_LOCI_2	chrX_KI270913v1_alt
HSCHR19KIR_RSH_BA2_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270914.1	=	NT_187668.1	ALT_REF_LOCI_20	chr19_KI270914v1_alt
HSCHR19KIR_T7526_A_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270915.1	=	NT_187669.1	ALT_REF_LOCI_21	chr19_KI270915v1_alt
HSCHR19KIR_T7526_BDEL_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270916.1	=	NT_187670.1	ALT_REF_LOCI_22	chr19_KI270916v1_alt
HSCHR19KIR_ABC08_A1_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270917.1	=	NT_187671.1	ALT_REF_LOCI_23	chr19_KI270917v1_alt
HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	alt-scaffold	19	Chromosome	KI270918.1	=	NT_187672.1	ALT_REF_LOCI_24	chr19_KI270918v1_alt
HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	alt-scaffold	19	Chromosome	KI270919.1	=	NT_187673.1	ALT_REF_LOCI_25	chr19_KI270919v1_alt
HSCHR19KIR_FH05_A_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270920.1	=	NT_187674.1	ALT_REF_LOCI_26	chr19_KI270920v1_alt
HSCHR19KIR_FH05_B_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270921.1	=	NT_187675.1	ALT_REF_LOCI_27	chr19_KI270921v1_alt
HSCHR19KIR_FH06_A_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270922.1	=	NT_187676.1	ALT_REF_LOCI_28	chr19_KI270922v1_alt
HSCHR19KIR_FH06_BA1_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270923.1	=	NT_187677.1	ALT_REF_LOCI_29	chr19_KI270923v1_alt
HSCHR3_4_CTG3	alt-scaffold	3	Chromosome	KI270924.1	=	NT_187678.1	ALT_REF_LOCI_3	chr3_KI270924v1_alt
HSCHR4_7_CTG12	alt-scaffold	4	Chromosome	KI270925.1	=	NT_187679.1	ALT_REF_LOCI_3	chr4_KI270925v1_alt
HSCHR6_MHC_DBB_CTG1	alt-scaffold	6	Chromosome	GL000252.2	=	NT_167245.2	ALT_REF_LOCI_3	chr6_GL000252v2_alt
HSCHR8_7_CTG1	alt-scaffold	8	Chromosome	KI270926.1	=	NT_187680.1	ALT_REF_LOCI_3	chr8_KI270926v1_alt
HSCHR11_3_CTG1	alt-scaffold	11	Chromosome	KI270927.1	=	NT_187681.1	ALT_REF_LOCI_3	chr11_KI270927v1_alt
HSCHR19LRC_LRC_I_CTG3_1	alt-scaffold	19	Chromosome	GL949748.2	=	NW_003571056.2	ALT_REF_LOCI_3	chr19_GL949748v2_alt
HSCHR22_3_CTG1	alt-scaffold	22	Chromosome	KI270928.1	=	NT_187682.1	ALT_REF_LOCI_3	chr22_KI270928v1_alt
HSCHR19KIR_FH08_A_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270929.1	=	NT_187683.1	ALT_REF_LOCI_30	chr19_KI270929v1_alt
HSCHR19KIR_FH08_BAX_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270930.1	=	NT_187684.1	ALT_REF_LOCI_31	chr19_KI270930v1_alt
HSCHR19KIR_FH13_A_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270931.1	=	NT_187685.1	ALT_REF_LOCI_32	chr19_KI270931v1_alt
HSCHR19KIR_FH13_BA2_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270932.1	=	NT_187686.1	ALT_REF_LOCI_33	chr19_KI270932v1_alt
HSCHR19KIR_FH15_A_HAP_CTG3_1	alt-scaffold	19	Chromosome	KI270933.1	=	NT_187687.1	ALT_REF_LOCI_34	chr19_KI270933v1_alt
HSCHR19KIR_RP5_B_HAP_CTG3_1	alt-scaffold	19	Chromosome	GL000209.2	=	NT_113949.2	ALT_REF_LOCI_35	chr19_GL000209v2_alt
HSCHR3_5_CTG3	alt-scaffold	3	Chromosome	KI270934.1	=	NT_187688.1	ALT_REF_LOCI_4	chr3_KI270934v1_alt
HSCHR6_MHC_MANN_CTG1	alt-scaffold	6	Chromosome	GL000253.2	=	NT_167246.2	ALT_REF_LOCI_4	chr6_GL000253v2_alt
HSCHR19LRC_LRC_J_CTG3_1	alt-scaffold	19	Chromosome	GL949749.2	=	NW_003571057.2	ALT_REF_LOCI_4	chr19_GL949749v2_alt
HSCHR3_6_CTG3	alt-scaffold	3	Chromosome	KI270935.1	=	NT_187689.1	ALT_REF_LOCI_5	chr3_KI270935v1_alt
HSCHR6_MHC_MCF_CTG1	alt-scaffold	6	Chromosome	GL000254.2	=	NT_167247.2	ALT_REF_LOCI_5	chr6_GL000254v2_alt
HSCHR19LRC_LRC_S_CTG3_1	alt-scaffold	19	Chromosome	GL949750.2	=	NW_003571058.2	ALT_REF_LOCI_5	chr19_GL949750v2_alt
HSCHR3_7_CTG3	alt-scaffold	3	Chromosome	KI270936.1	=	NT_187690.1	ALT_REF_LOCI_6	chr3_KI270936v1_alt
HSCHR6_MHC_QBL_CTG1	alt-scaffold	6	Chromosome	GL000255.2	=	NT_167248.2	ALT_REF_LOCI_6	chr6_GL000255v2_alt
HSCHR19LRC_LRC_T_CTG3_1	alt-scaffold	19	Chromosome	GL949751.2	=	NW_003571059.2	ALT_REF_LOCI_6	chr19_GL949751v2_alt
HSCHR3_8_CTG3	alt-scaffold	3	Chromosome	KI270937.1	=	NT_187691.1	ALT_REF_LOCI_7	chr3_KI270937v1_alt
HSCHR6_MHC_SSTO_CTG1	alt-scaffold	6	Chromosome	GL000256.2	=	NT_167249.2	ALT_REF_LOCI_7	chr6_GL000256v2_alt
HSCHR19LRC_PGF1_CTG3_1	alt-scaffold	19	Chromosome	GL949752.1	=	NW_003571060.1	ALT_REF_LOCI_7	chr19_GL949752v1_alt
HSCHR6_8_CTG1	alt-scaffold	6	Chromosome	KI270758.1	=	NT_187692.1	ALT_REF_LOCI_8	chr6_KI270758v1_alt
HSCHR19LRC_PGF2_CTG3_1	alt-scaffold	19	Chromosome	GL949753.2	=	NW_003571061.2	ALT_REF_LOCI_8	chr19_GL949753v2_alt
HSCHR19_4_CTG3_1	alt-scaffold	19	Chromosome	KI270938.1	=	NT_187693.1	ALT_REF_LOCI_9	chr19_KI270938v1_alt
MT	assembled-molecule	MT	Mitochondrion	J01415.2	=	NC_012920.1	non-nuclear	chrM
